"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2023","67.00","68.40","68.48","66.88","1.76M","-2.90%"
"12/11/2023","65.48","66.76","66.96","65.34","1.88M","-2.27%"
"12/12/2023","63.60","64.56","64.96","63.18","2.39M","-2.87%"
"12/13/2023","62.84","63.20","64.20","62.45","3.04M","-1.19%"
"12/14/2023","62.48","62.08","64.36","62.08","3.84M","-0.57%"
"12/15/2023","64.56","62.84","64.80","62.44","2.74M","3.33%"
"12/18/2023","64.72","64.48","64.96","64.28","1.50M","0.25%"
"12/19/2023","65.68","65.20","65.84","64.80","1.36M","1.48%"
"12/20/2023","69.68","65.40","70.52","65.00","4.58M","6.09%"
"12/21/2023","68.24","68.73","70.30","67.52","2.90M","-2.07%"
"12/22/2023","66.44","67.88","69.32","66.44","2.25M","-2.64%"
"12/26/2023","64.88","66.28","66.72","64.64","1.09M","-2.35%"
"12/27/2023","62.08","64.24","64.24","62.00","1.86M","-4.32%"
"12/28/2023","61.92","61.84","62.80","61.64","1.55M","-0.26%"
"12/29/2023","62.08","61.96","63.60","61.52","2.55M","0.26%"
"01/02/2024","62.08","63.80","64.84","61.72","2.97M","0.00%"
"01/03/2024","64.40","63.26","65.40","62.32","3.91M","3.74%"
"01/04/2024","64.32","64.48","64.68","63.08","1.84M","-0.12%"
"01/05/2024","62.20","63.72","63.80","61.60","3.27M","-3.30%"
"01/08/2024","60.76","62.16","62.44","60.00","2.25M","-2.32%"
"01/09/2024","59.36","61.32","61.44","59.20","1.74M","-2.30%"
"01/10/2024","58.72","58.96","59.20","58.40","2.05M","-1.08%"
"01/11/2024","58.40","57.88","60.56","57.72","3.16M","-0.54%"
"01/12/2024","59.36","58.20","59.60","58.13","2.46M","1.64%"
"01/16/2024","61.44","60.80","62.68","60.04","3.30M","3.50%"
"01/17/2024","63.76","63.28","65.20","62.20","3.77M","3.78%"
"01/18/2024","61.56","62.16","63.60","61.28","2.63M","-3.45%"
"01/19/2024","60.00","60.32","60.73","59.52","2.72M","-2.53%"
"01/22/2024","58.00","59.24","59.68","57.80","2.47M","-3.33%"
"01/23/2024","56.32","57.24","57.40","56.28","1.94M","-2.90%"
"01/24/2024","57.80","55.88","57.84","55.72","2.86M","2.63%"
"01/25/2024","58.44","57.68","58.68","57.36","2.13M","1.11%"
"01/26/2024","58.12","58.44","58.76","57.36","2.11M","-0.55%"
"01/29/2024","58.36","58.16","59.22","57.96","2.12M","0.41%"
"01/30/2024","57.60","58.16","58.28","57.44","1.85M","-1.30%"
"01/31/2024","60.52","57.72","61.00","57.56","5.03M","5.07%"
"02/01/2024","60.04","59.80","61.16","58.80","2.88M","-0.79%"
"02/02/2024","59.96","59.76","60.44","58.86","2.49M","-0.13%"
"02/05/2024","57.60","59.44","60.68","57.44","2.80M","-3.94%"
"02/06/2024","56.20","57.08","57.76","56.12","2.10M","-2.43%"
"02/07/2024","56.00","55.68","56.48","55.60","2.28M","-0.36%"
"02/08/2024","55.68","55.84","56.68","55.48","1.80M","-0.57%"
"02/09/2024","56.08","55.44","56.28","55.00","1.98M","0.72%"
"02/12/2024","57.28","55.72","57.86","55.56","3.09M","2.14%"
"02/13/2024","61.32","59.16","65.24","58.64","7.68M","7.05%"
"02/14/2024","58.28","59.00","60.24","57.84","5.57M","-4.96%"
"02/15/2024","57.68","57.60","58.86","57.22","3.15M","-1.03%"
"02/16/2024","57.60","58.04","58.50","56.48","3.16M","-0.14%"
"02/20/2024","59.48","58.48","60.96","58.20","4.76M","3.26%"
"02/21/2024","58.96","59.79","60.36","58.80","3.78M","-0.87%"
"02/22/2024","57.84","56.72","57.96","55.96","3.07M","-1.90%"
"02/23/2024","55.72","56.88","57.28","55.64","2.61M","-3.67%"
"02/26/2024","55.16","55.24","55.44","54.86","1.72M","-1.01%"
"02/27/2024","54.12","54.48","54.76","54.02","1.82M","-1.89%"
"02/28/2024","55.00","54.48","55.44","54.36","1.86M","1.63%"
"02/29/2024","54.24","54.00","55.48","53.96","2.81M","-1.38%"
"03/01/2024","54.40","53.72","54.72","53.40","2.65M","0.29%"
"03/04/2024","54.28","54.16","54.60","53.96","1.41M","-0.22%"
"03/05/2024","56.52","54.80","58.18","54.72","5.45M","4.13%"
"03/06/2024","56.72","55.20","57.20","54.88","3.62M","0.35%"
"03/07/2024","56.44","55.52","57.16","55.44","2.59M","-0.49%"
"03/08/2024","57.92","55.64","59.84","55.28","5.09M","2.62%"
"03/11/2024","57.32","58.44","59.45","56.78","2.85M","-1.04%"
"03/12/2024","54.52","55.92","56.68","54.34","3.71M","-4.88%"
"03/13/2024","54.24","54.28","54.76","53.92","1.88M","-0.51%"
"03/14/2024","55.64","53.88","57.80","53.56","7.35M","2.58%"
"03/15/2024","56.76","56.49","58.84","55.90","5.61M","2.01%"
"03/18/2024","55.44","55.88","55.94","54.96","3.05M","-2.33%"
"03/19/2024","53.88","55.56","55.84","53.84","2.94M","-2.81%"
"03/20/2024","52.76","54.00","54.20","52.50","4.37M","-2.08%"
"03/21/2024","52.28","52.04","53.00","51.80","3.16M","-0.91%"
"03/22/2024","52.52","52.52","52.80","51.68","2.36M","0.46%"
