"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2017","205.17","204.06","205.18","203.94","3.59M","0.48%"
"02/15/2017","206.38","205.39","206.49","205.29","3.65M","0.59%"
"02/16/2017","206.48","206.55","206.72","205.85","4.59M","0.05%"
"02/17/2017","205.88","205.03","205.92","205.02","5.75M","-0.29%"
"02/21/2017","207.07","206.56","207.30","206.42","3.08M","0.58%"
"02/22/2017","207.45","206.73","207.53","206.64","2.25M","0.18%"
"02/23/2017","207.82","208.06","208.15","207.21","3.18M","0.18%"
"02/24/2017","207.93","207.08","207.95","207.07","3.70M","0.05%"
"02/27/2017","208.29","207.73","208.37","207.61","3.43M","0.17%"
"02/28/2017","207.98","208.11","208.31","207.68","2.82M","-0.15%"
"03/01/2017","211.02","209.92","211.59","209.88","7.85M","1.46%"
"03/02/2017","209.89","211.19","211.19","209.84","3.34M","-0.54%"
"03/03/2017","209.91","210.06","210.32","209.41","2.59M","0.01%"
"03/06/2017","209.48","209.26","209.77","209.02","2.52M","-0.20%"
"03/07/2017","209.17","209.21","209.66","208.97","2.74M","-0.15%"
"03/08/2017","208.61","209.58","209.61","208.43","3.17M","-0.27%"
"03/09/2017","208.67","208.74","209.09","207.87","4.43M","0.03%"
"03/10/2017","209.15","209.69","209.70","208.36","3.00M","0.23%"
"03/13/2017","208.94","209.13","209.34","208.59","2.26M","-0.10%"
"03/14/2017","208.54","208.57","208.88","207.98","4.43M","-0.19%"
"03/15/2017","209.58","208.83","209.91","208.71","5.74M","0.50%"
"03/16/2017","209.44","210.17","210.17","209.05","3.02M","-0.07%"
"03/17/2017","208.86","209.53","209.53","208.83","2.87M","-0.28%"
"03/20/2017","208.81","208.85","209.27","208.56","3.31M","-0.02%"
"03/21/2017","206.35","209.33","209.43","206.25","6.19M","-1.18%"
"03/22/2017","206.41","205.96","206.57","205.50","3.90M","0.03%"
"03/23/2017","206.31","206.03","207.30","205.91","3.84M","-0.05%"
"03/24/2017","205.75","206.58","206.90","205.00","4.05M","-0.27%"
"03/27/2017","205.23","204.18","205.50","203.81","4.56M","-0.25%"
